Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL007C	216	46.462962963	10036
YAL008W	199	15.7939698492	3143
YAL009W	260	3.27307692308	851
YAL010C	494	2.17004048583	1072
YAL012W	395	337.906329114	133473
YAL013W	406	8.16748768473	3316
YAL014C	256	7.8125	2000
YAL015C	400	2.7625	1105
YAL016W	636	35.106918239	22328
YAL017W	1357	2.73765659543	3715
YAL019W	1132	8.9461130742	10127
YAL020C	334	3.22754491018	1078
YAL022C	518	8.53861003861	4423
YAL023C	760	32.35	24586
YAL025C	307	32.9022801303	10101
YAL027W	262	3.09160305344	810
YAL029C	1472	2.64266304348	3890
YAL031C	761	1.77398160315	1350
YAL032C	380	4.87894736842	1854
YAL033W	174	14.2873563218	2486
YAL034W-A	290	2.91034482759	844
YAL036C	370	46.4864864865	17200
YAL038W	501	4062.53293413	2035329
YAL039C	270	11.6148148148	3136
YAL040C	581	2.35628227194	1369
YAL041W	855	5.89122807018	5037
YAL042W	416	34.53125	14365
YAL043C	786	7.63358778626	6000
YAL044C	171	160.444444444	27436
YAL044W-A	111	29.7657657658	3304
YAL046C	119	21.2773109244	2532
YAL047C	623	2.27608346709	1418
YAL048C	663	2.10407239819	1395
YAL049C	247	23.2631578947	5746
YAL051W	1048	2.97709923664	3120
YAL053W	784	8.3443877551	6542
YAL055W	181	4.54696132597	823
YAL056W	881	1.31328036322	1157
YAL058W	503	3.36580516899	1693
YAL059W	213	20.5352112676	4374
YAL060W	383	34.1279373368	13071
YAL061W	418	2.82057416268	1179
YAR002C-A	220	63.7045454545	14015
YAR002W	540	17.4518518519	9424
YAR003W	427	3.19203747073	1363
YAR007C	622	21.4646302251	13351
YAR008W	276	4.83333333333	1334
YAR014C	710	7.8985915493	5608
YAR015W	307	52.4527687296	16103
YAR018C	436	3.89220183486	1697
YAR042W	1189	3.63162321278	4318
YBL001C	105	80.6571428571	8469
YBL004W	2494	7.14554931836	17821
YBL005W	977	1.75537359263	1715
YBL006C	181	23.0718232044	4176
YBL007C	1245	28.9678714859	36065
YBL008W	841	2.36266349584	1987
YBL009W	677	5.77252584934	3908
YBL010C	281	5.00355871886	1406
YBL013W	402	1.24875621891	502
YBL015W	527	6.12903225806	3230
YBL016W	354	8.63276836158	3056
YBL019W	521	1.05950095969	552
YBL020W	575	3.72869565217	2144
YBL021C	145	11.5034482759	1668
YBL022C	1134	18.5661375661	21054
YBL023C	869	7.13233601841	6198
YBL024W	685	36.6437956204	25101
YBL025W	146	8.34931506849	1219
YBL028C	107	75.8317757009	8114
YBL029C-A	95	8.31578947368	790
YBL030C	319	149.034482759	47542
YBL031W	339	2.7994100295	949
YBL032W	382	44.7486910995	17094
YBL033C	346	12.6184971098	4366
YBL034C	1514	2.2787318362	3450
YBL035C	706	6.55949008499	4631
YBL036C	258	34.3217054264	8855
YBL037W	1026	3.0955165692	3176
YBL038W	233	14.6223175966	3407
YBL039W-B	60	1.91666666667	115
YBL041W	242	95.3760330579	23081
YBL042C	640	11.834375	7574
YBL045C	458	25.3908296943	11629
YBL047C	1382	27.5890014472	38128
YBL051C	669	20.1285500747	13466
YBL054W	526	8.99619771863	4732
YBL055C	419	6.5799522673	2757
YBL056W	469	23.5820895522	11060
YBL057C	209	15.3062200957	3199
YBL058W	424	48.6014150943	20607
YBL060W	688	1.74418604651	1200
YBL061C	697	7.6700143472	5346
YBL063W	1112	1.51978417266	1690
YBL064C	262	17.4351145038	4568
YBL067C	748	3.99197860963	2986
YBL068W	327	22.6513761468	7407
YBL071W-A	83	49.1807228916	4082
YBL074C	356	3.00561797753	1070
YBL076C	1073	87.5629077353	93955
YBL078C	118	11.4576271186	1352
YBL079W	1503	5.05655355955	7600
YBL080C	542	1.14575645756	621
YBL085W	981	5.28236493374	5182
YBL086C	467	3.72376873662	1739
YBL089W	460	2.40652173913	1107
YBL090W	178	16.5617977528	2948
YBL091C	422	44.3696682464	18724
YBL092W	131	2423.44274809	317471
YBL093C	221	20.7466063348	4585
YBL095W	271	1.94833948339	528
YBL097W	755	2.21589403974	1673
YBL098W	461	5.74186550976	2647
YBL099W	546	104.820512821	57232
YBL101C	1118	2.80053667263	3131
YBL102W	216	21.3935185185	4621
YBL103C	487	5.40657084189	2633
YBL104C	1039	2.04234841193	2122
YBL105C	1152	4.25434027778	4901
YBL106C	1011	1.20178041543	1215
YBL107C	197	8.8578680203	1745
YBR002C	287	9.00348432056	2584
YBR003W	474	4.69831223629	2227
YBR004C	434	3.84792626728	1670
YBR005W	214	3.70093457944	792
YBR006W	498	3.27911646586	1633
YBR007C	737	2.48982360923	1835
YBR011C	288	694.3125	199962
YBR012C	140	3.94285714286	552
YBR013C	130	4.23846153846	551
YBR014C	204	19.9411764706	4068
YBR015C	598	16.5284280936	9884
YBR017C	919	16.5527747552	15212
YBR021W	634	1.98738170347	1260
YBR022W	178	9.26966292135	1650
YBR023C	1166	4.86363636364	5671
YBR024W	302	4.05960264901	1226
YBR025C	395	274.726582278	108517
YBR026C	381	19.2992125984	7353
YBR028C	526	4.59885931559	2419
YBR029C	458	13.1004366812	6000
YBR030W	553	2.88245931284	1594
YBR034C	349	33.9541547278	11850
YBR035C	229	56.7903930131	13005
YBR036C	411	19.99513382	8218
YBR037C	296	7.02702702703	2080
YBR038W	964	9.61099585062	9265
YBR039W	312	55.5865384615	17343
YBR041W	670	5.99253731343	4015
YBR042C	398	6.52512562814	2597
YBR044C	573	1.83246073298	1050
YBR046C	335	15.9432835821	5341
YBR047W	176	4.9375	869
YBR052C	211	38.0853080569	8036
YBR053C	359	14.3008356546	5134
YBR055C	900	2.60666666667	2346
YBR056W	502	10.0737051793	5057
YBR056W-A	67	4.35820895522	292
YBR057C	367	8.00544959128	2938
YBR058C	782	9.57672634271	7489
YBR058C-A	81	65.2962962963	5289
YBR059C	1109	6.58070333634	7298
YBR060C	621	4.82286634461	2995
YBR061C	311	18.9453376206	5892
YBR065C	365	4.65479452055	1699
YBR066C	221	12.0904977376	2672
YBR067C	211	227.758293839	48057
YBR068C	610	27.2213114754	16605
YBR069C	620	25.8532258065	16029
YBR070C	238	5.73529411765	1365
YBR071W	212	17.9811320755	3812
YBR072W	215	13.9674418605	3003
YBR073W	959	6.94369134515	6659
YBR074W	977	5.40736949846	5283
YBR077C	163	18.8343558282	3070
YBR079C	965	47.5792746114	45914
YBR080C	759	25.0671936759	19026
YBR081C	1333	2.951987997	3935
YBR083W	487	8.97125256674	4369
YBR084W	976	22.0727459016	21543
YBR085C-A	86	68.2906976744	5873
YBR086C	947	11.7697993664	11146
YBR087W	355	13.5718309859	4818
YBR088C	259	57.6409266409	14929
YBR091C	110	16.5090909091	1816
YBR094W	754	6.32228116711	4767
YBR095C	431	5.52668213457	2382
YBR096W	231	24.8571428571	5742
YBR098W	692	1.15751445087	801
YBR101C	291	42.8797250859	12478
YBR102C	754	5.37533156499	4053
YBR103W	536	4.11007462687	2203
YBR104W	330	12.7151515152	4196
YBR105C	363	5.02754820937	1825
YBR106W	189	292.412698413	55266
YBR107C	246	1.18292682927	291
YBR109C	148	238.209459459	35255
YBR110W	450	6.08888888889	2740
YBR111C	232	51.3577586207	11915
YBR114W	791	1.44879898862	1146
YBR115C	1393	19.088298636	26590
YBR120C	163	9.87116564417	1609
YBR122C	178	21.202247191	3774
YBR123C	650	4.65076923077	3023
YBR125C	394	5.81979695431	2293
YBR126C	496	48.25	23932
YBR127C	518	211.666023166	109643
YBR130C	426	11.3192488263	4822
YBR131W	705	1.46241134752	1031
YBR132C	597	2.72864321608	1629
YBR133C	828	3.5809178744	2965
YBR137W	180	23.2833333333	4191
YBR138C	525	2.67047619048	1402
YBR139W	509	11.1434184676	5672
YBR140C	3093	1.34044616877	4146
YBR141C	338	4.49408284024	1519
YBR142W	774	12.4328165375	9623
YBR143C	438	106.070776256	46459
YBR146W	279	14.6415770609	4085
YBR149W	345	48.1043478261	16596
YBR151W	317	14.094637224	4468
YBR152W	292	3.24657534247	948
YBR153W	245	3.08571428571	756
YBR154C	216	85.4351851852	18454
YBR155W	386	20.0880829016	7754
YBR156C	699	2.19885550787	1537
YBR157C	256	5.5234375	1414
YBR158W	550	12.3145454545	6773
YBR159W	348	33.1379310345	11532
YBR160W	299	19.5150501672	5835
YBR162C	456	110.307017544	50300
YBR162W-A	66	115.348484848	7613
YBR164C	184	45.1576086957	8309
YBR165W	278	6.14028776978	1707
YBR166C	453	10.7682119205	4878
YBR167C	141	7.82269503546	1103
YBR168W	414	1.14251207729	473
YBR170C	581	11.8296041308	6873
YBR171W	207	28.5362318841	5907
YBR172C	741	10.2321187584	7582
YBR173C	149	80.0134228188	11922
YBR175W	316	4.76898734177	1507
YBR176W	313	8.16932907348	2557
YBR177C	452	16.3075221239	7371
YBR179C	856	3.46845794393	2969
YBR183W	317	1.54889589905	491
YBR185C	279	7.00716845878	1955
YBR187W	281	31.4306049822	8832
YBR188C	141	11.7375886525	1655
YBR191W-A	25	2.6	65
YBR192W	378	6.39947089947	2419
YBR193C	224	9.67410714286	2167
YBR194W	124	5.32258064516	660
YBR195C	423	4.89125295508	2069
YBR196C	555	788.158558559	437428
YBR197C	218	7.02752293578	1532
YBR198C	799	10.2790988736	8213
YBR199W	465	13.7440860215	6391
YBR200W	552	6.96014492754	3842
YBR201C-A	68	2.80882352941	191
YBR201W	212	4.33962264151	920
YBR204C	376	3.79787234043	1428
YBR207W	466	8.81545064378	4108
YBR210W	143	10.5664335664	1511
YBR211C	325	4.60307692308	1496
YBR213W	275	4.98909090909	1372
YBR214W	528	6.90340909091	3645
YBR216C	675	4.39703703704	2968
YBR217W	187	2.41711229947	452
YBR221C	367	125.179836512	45941
YBR222C	544	21.3621323529	11621
YBR223C	545	1.03119266055	562
YBR227C	521	6.06525911708	3160
YBR228W	305	1.6262295082	496
YBR229C	955	6.55183246073	6257
YBR230W-A	67	15.1791044776	1017
YBR231C	304	5.60855263158	1705
YBR233W	414	7.18357487923	2974
YBR233W-A	95	14.6315789474	1390
YBR234C	385	43.9376623377	16916
YBR235W	1121	1.49866190901	1680
YBR236C	437	9.43707093822	4124
YBR237W	850	1.38470588235	1177
YBR238C	732	4.39207650273	3215
YBR239C	530	1.49056603774	790
YBR241C	489	2.47443762781	1210
YBR242W	239	13.8410041841	3308
YBR243C	449	6.63251670379	2978
YBR244W	163	46.0920245399	7513
YBR245C	1130	11.8840707965	13429
YBR246W	388	6.56443298969	2547
YBR247C	484	24.4380165289	11828
YBR248C	553	20.6401446655	11414
YBR249C	371	162.118598383	60146
YBR251W	308	9.87337662338	3041
YBR252W	148	71.3581081081	10561
YBR253W	122	11.0819672131	1352
YBR254C	176	12.6363636364	2224
YBR255W	695	1.43165467626	995
YBR256C	239	16.7447698745	4002
YBR257W	280	6.55	1834
YBR258C	143	4.74125874126	678
YBR260C	667	5.64917541229	3768
YBR261C	233	36.017167382	8392
YBR262C	107	15.8971962617	1701
YBR263W	491	74.3890020367	36525
YBR264C	200	9.325	1865
YBR265W	321	15.0031152648	4816
YBR267W	394	20.154822335	7941
YBR268W	106	29.2735849057	3103
YBR269C	139	30.4460431655	4232
YBR271W	420	6.01904761905	2528
YBR272C	481	5.15384615385	2479
YBR273C	437	12.4736842105	5451
YBR274W	528	2.59848484848	1372
YBR275C	1917	1.48304642671	2843
YBR276C	808	1.30321782178	1053
YBR278W	202	6.5396039604	1321
YBR279W	446	14.9977578475	6689
YBR280C	638	1.51567398119	967
YBR281C	879	5.2377701934	4604
YBR282W	147	22.2176870748	3266
YBR283C	491	53.6517311609	26343
YBR286W	538	155.150557621	83471
YBR287W	428	10.1775700935	4356
YBR288C	484	9.23347107438	4469
YBR290W	322	9.98136645963	3214
YBR291C	300	3.88	1164
YBR296C	575	4.98086956522	2864
YCL001W	189	39.7671957672	7516
YCL005W	257	3.11673151751	801
YCL008C	386	5.60362694301	2163
YCL009C	310	123.512903226	38289
YCL010C	260	7.58846153846	1973
YCL011C	428	28.75	12305
YCL014W	1637	2.96701282834	4857
YCL016C	381	3.1811023622	1212
YCL017C	498	27.5843373494	13737
YCL024W	1038	1.56647398844	1626
YCL026C-B	194	9.73711340206	1889
YCL027W	513	1.47173489279	755
YCL029C	441	6.43083900227	2836
YCL030C	800	40.26125	32209
YCL031C	298	20.2348993289	6030
YCL032W	347	4.62824207493	1606
YCL033C	169	21.201183432	3583
YCL034W	355	19.5126760563	6927
YCL035C	111	115.828828829	12857
YCL036W	567	2.7037037037	1533
YCL037C	435	149.645977011	65096
YCL038C	529	2.4763705104	1310
YCL039W	746	2.71581769437	2026
YCL044C	418	7.46650717703	3121
YCL045C	761	21.9014454665	16667
YCL047C	259	7.2972972973	1890
YCL049C	313	3.54952076677	1111
YCL050C	322	138.763975155	44682
YCL051W	584	3.05821917808	1786
YCL052C	417	4.43884892086	1851
YCL054W	842	14.3586698337	12090
YCL054W-A	29	10.5862068966	307
YCL055W	336	8.46130952381	2843
YCL056C	145	2.22068965517	322
YCL057C-A	98	90.7346938776	8892
YCL057W	713	22.8162692847	16268
YCL058W-A	114	18.7894736842	2142
YCL059C	317	43.1104100946	13666
YCL061C	1097	3.30993618961	3631
YCL063W	424	5.01179245283	2125
YCL064C	361	154.332409972	55714
YCR002C	323	33.7925696594	10915
YCR003W	184	13.875	2553
YCR004C	248	84.7580645161	21020
YCR005C	461	42.6442516269	19659
YCR008W	604	6.7201986755	4059
YCR009C	266	48.3383458647	12858
YCR011C	1050	8.91714285714	9363
YCR012W	417	3775.47721823	1574374
YCR015C	318	2.70754716981	861
YCR016W	291	22.2474226804	6474
YCR017C	954	7.34591194969	7008
YCR018C	222	6.18918918919	1374
YCR019W	364	2.45604395604	894
YCR020C-A	89	23.1011235955	2056
YCR020W-B	79	17.1392405063	1354
YCR023C	612	1.82843137255	1119
YCR024C	493	1.45436105477	717
YCR026C	743	3.42934051144	2548
YCR027C	210	5.21904761905	1096
YCR028C	513	3.82846003899	1964
YCR030C	871	8.91274397245	7763
YCR033W	1227	3.31784841076	4071
YCR034W	348	57.3448275862	19956
YCR035C	395	12.6481012658	4996
YCR036W	334	11.994011976	4006
YCR042C	1408	3.63210227273	5114
YCR043C	128	37.7890625	4837
YCR044C	358	7.20670391061	2580
YCR046C	170	26.0882352941	4435
YCR047C	276	19.4130434783	5358
YCR048W	611	10.6088379705	6482
YCR051W	223	44.7085201794	9970
YCR052W	484	15.6652892562	7582
YCR053W	515	178.365048544	91858
YCR054C	564	4.25177304965	2398
YCR057C	924	13.0887445887	12094
YCR059C	259	12.5173745174	3242
YCR060W	112	22.1071428571	2476
YCR061W	632	10.6772151899	6748
YCR063W	158	5.89873417722	932
YCR065W	565	8.55752212389	4835
YCR066W	488	1.56762295082	765
YCR068W	521	2.20345489443	1148
YCR069W	319	19.7836990596	6311
YCR071C	147	16.2517006803	2389
YCR072C	516	17.6569767442	9111
YCR073W-A	316	19.2341772152	6078
YCR075C	261	3.60536398467	941
YCR075W-A	76	23.1578947368	1760
YCR076C	251	8.21115537849	2061
YCR077C	797	22.6775407779	18074
YCR081W	1428	1.35854341737	1940
YCR082W	129	36.8682170543	4756
YCR083W	128	23.4140625	2997
YCR084C	714	23.4957983193	16776
YCR086W	191	10.0104712042	1912
YCR087C-A	154	47.4025974026	7300
YCR088W	593	103.71163575	61501
YCR090C	183	21.6010928962	3953
YCR092C	1019	2.31501472031	2359
YCR093W	2109	7.89141773352	16643
YCR094W	392	8.64030612245	3387
YCR095C	363	3.76308539945	1366
YDL001W	431	4.67517401392	2015
YDL002C	204	13.2598039216	2705
YDL003W	567	7.47971781305	4241
YDL004W	161	77.2732919255	12441
YDL006W	282	7.62056737589	2149
YDL007W	438	55.8470319635	24461
YDL008W	166	11.8855421687	1973
YDL010W	232	10.6551724138	2472
YDL013W	620	3.1	1922
YDL015C	311	63.0964630225	19623
YDL017W	508	2.56102362205	1301
YDL018C	226	10.8628318584	2455
YDL019C	1284	4.92211838006	6320
YDL020C	532	12.8439849624	6833
YDL021W	312	3.75320512821	1171
YDL022W	392	80.5943877551	31593
YDL025C	621	2.61674718196	1625
YDL027C	421	2.06888361045	871
YDL028C	765	2.6862745098	2055
YDL030W	531	3.47269303202	1844
YDL031W	996	16.2530120482	16188
YDL033C	418	1.45454545455	608
YDL036C	463	4.04535637149	1873
YDL040C	855	24.7976608187	21202
YDL042C	563	5.54884547069	3124
YDL043C	267	9.73033707865	2598
YDL044C	441	3.24036281179	1429
YDL045C	307	5.15960912052	1584
YDL045W-A	96	29.9375	2874
YDL046W	174	53.5689655172	9321
YDL047W	312	18.7948717949	5864
YDL051W	276	83.1739130435	22956
YDL052C	304	26.0789473684	7928
YDL053C	186	31.8010752688	5915
YDL054C	487	4.03696098563	1966
YDL055C	362	531.359116022	192352
YDL056W	834	3.72661870504	3108
YDL057W	329	2.79331306991	919
YDL058W	1791	5.15633724176	9235
YDL059C	239	2.48535564854	594
YDL060W	789	14.7046894804	11602
YDL063C	621	12.2463768116	7605
YDL065C	343	17.8221574344	6113
YDL066W	429	84.3193473193	36173
YDL067C	60	96.3666666667	5782
YDL069C	230	1.61739130435	372
