Gene	Length(codons)	Average reads (per codon)	Sum of reads
YAL007C	216	52.8055555556	11406
YAL008W	199	15.5427135678	3093
YAL009W	260	3.25	845
YAL010C	494	2.25910931174	1116
YAL012W	395	346.696202532	136945
YAL013W	406	8.43103448276	3423
YAL014C	256	7.83984375	2007
YAL015C	400	2.6725	1069
YAL016W	636	38.0801886792	24219
YAL017W	1357	2.7081798084	3675
YAL019W	1132	9.7667844523	11056
YAL020C	334	3.36526946108	1124
YAL022C	518	9.40347490347	4871
YAL023C	760	36.4486842105	27701
YAL025C	307	36.8501628664	11313
YAL027W	262	3.24427480916	850
YAL029C	1472	2.71942934783	4003
YAL031C	761	1.78712220762	1360
YAL032C	380	4.52105263158	1718
YAL033W	174	15.2413793103	2652
YAL034W-A	290	3.4275862069	994
YAL036C	370	49.6567567568	18373
YAL038W	501	4087.35928144	2047767
YAL039C	270	10.6925925926	2887
YAL040C	581	2.44061962134	1418
YAL041W	855	6.0783625731	5197
YAL042W	416	35.8605769231	14918
YAL043C	786	8.10941475827	6374
YAL044C	171	164.555555556	28139
YAL044W-A	111	31.2342342342	3467
YAL046C	119	22.0084033613	2619
YAL047C	623	2.39807383628	1494
YAL048C	663	2.03619909502	1350
YAL049C	247	24.3238866397	6008
YAL051W	1048	3.08396946565	3232
YAL053W	784	9.48469387755	7436
YAL055W	181	4.85082872928	878
YAL056W	881	1.34052213394	1181
YAL058W	503	3.80119284294	1912
YAL059W	213	23.1361502347	4928
YAL060W	383	34.9242819843	13376
YAL061W	418	1.63397129187	683
YAR002C-A	220	71.2727272727	15680
YAR002W	540	19.2518518519	10396
YAR003W	427	3.48009367681	1486
YAR007C	622	21.6800643087	13485
YAR008W	276	4.96376811594	1370
YAR014C	710	8.32394366197	5910
YAR015W	307	56.0358306189	17203
YAR018C	436	3.94266055046	1719
YAR042W	1189	3.56602186712	4240
YBL001C	105	89.3142857143	9378
YBL004W	2494	7.6639935846	19114
YBL005W	977	1.62436028659	1587
YBL006C	181	23.2099447514	4201
YBL007C	1245	30.2915662651	37713
YBL008W	841	2.46016646849	2069
YBL009W	677	6.16248153619	4172
YBL010C	281	5.68327402135	1597
YBL013W	402	1.26616915423	509
YBL014C	895	1.10837988827	992
YBL015W	527	6.00569259962	3165
YBL016W	354	8.71751412429	3086
YBL019W	521	1.09596928983	571
YBL020W	575	4.57913043478	2633
YBL021C	145	12.1517241379	1762
YBL022C	1134	18.7698412698	21285
YBL023C	869	7.32336018412	6364
YBL024W	685	41.3635036496	28334
YBL025W	146	9.2602739726	1352
YBL028C	107	87.0093457944	9310
YBL029C-A	95	8.6	817
YBL030C	319	154.896551724	49412
YBL031W	339	3.12389380531	1059
YBL032W	382	46.9895287958	17950
YBL033C	346	12.7601156069	4415
YBL034C	1514	2.43593130779	3688
YBL035C	706	7.33569405099	5179
YBL036C	258	38.984496124	10058
YBL037W	1026	3.1530214425	3235
YBL038W	233	14.7038626609	3426
YBL039W-B	60	2.25	135
YBL041W	242	98.7190082645	23890
YBL042C	640	13.28125	8500
YBL045C	458	24.788209607	11353
YBL046W	442	5.76470588235	2548
YBL047C	1382	29.4479015919	40697
YBL051C	669	21.5291479821	14403
YBL054W	526	10.0095057034	5265
YBL055C	419	7.2076372315	3020
YBL056W	469	24.1556503198	11329
YBL057C	209	18.1913875598	3802
YBL058W	424	49.5825471698	21023
YBL060W	688	1.84447674419	1269
YBL061C	697	8.13199426112	5668
YBL063W	1112	1.43705035971	1598
YBL064C	262	17.358778626	4548
YBL067C	748	4.37032085561	3269
YBL068W	327	25.4067278287	8308
YBL071W-A	83	58.5903614458	4863
YBL074C	356	2.86235955056	1019
YBL076C	1073	93.2357875116	100042
YBL078C	118	11.8728813559	1401
YBL079W	1503	5.13838988689	7723
YBL080C	542	1.17158671587	635
YBL085W	981	5.7747196738	5665
YBL086C	467	3.7130620985	1734
YBL089W	460	2.78913043478	1283
YBL090W	178	16.5674157303	2949
YBL091C	422	46.5947867299	19663
YBL092W	131	2622.14503817	343501
YBL093C	221	22.5022624434	4973
YBL095W	271	2.07380073801	562
YBL097W	755	2.44370860927	1845
YBL098W	461	6.23644251627	2875
YBL099W	546	109.450549451	59760
YBL101C	1118	2.7656529517	3092
YBL102W	216	22.7083333333	4905
YBL103C	487	5.85215605749	2850
YBL104C	1039	2.27526467757	2364
YBL105C	1152	4.08333333333	4704
YBL106C	1011	1.1434223541	1156
YBL107C	197	9.62436548223	1896
YBR001C	781	3.73751600512	2919
YBR002C	287	9.13240418118	2621
YBR003W	474	4.73417721519	2244
YBR004C	434	4.54377880184	1972
YBR005W	214	4.18691588785	896
YBR006W	498	3.11445783133	1551
YBR007C	737	2.47489823609	1824
YBR011C	288	737.284722222	212338
YBR012C	140	5.03571428571	705
YBR013C	130	5.03076923077	654
YBR014C	204	23.0882352941	4710
YBR015C	598	17.9882943144	10757
YBR021W	634	2.18927444795	1388
YBR022W	178	8.97191011236	1597
YBR023C	1166	5.36963979417	6261
YBR024W	302	4.50993377483	1362
YBR025C	395	298.096202532	117748
YBR026C	381	20.3858267717	7767
YBR028C	526	4.87262357414	2563
YBR029C	458	14.6135371179	6693
YBR030W	553	3.35804701627	1857
YBR034C	349	38.7564469914	13526
YBR035C	229	59.5240174672	13631
YBR036C	411	22.7104622871	9334
YBR037C	296	6.30743243243	1867
YBR038W	964	10.643153527	10260
YBR039W	312	60.7852564103	18965
YBR041W	670	6.41492537313	4298
YBR042C	398	7.2864321608	2900
YBR044C	573	1.91448516579	1097
YBR046C	335	16.5731343284	5552
YBR047W	176	6.35227272727	1118
YBR049C	811	18.5141800247	15015
YBR052C	211	39.1706161137	8265
YBR053C	359	14.5543175487	5225
YBR055C	900	3.12777777778	2815
YBR056W	502	10.5378486056	5290
YBR056W-A	67	4.62686567164	310
YBR057C	367	8.3242506812	3055
YBR058C	782	10.3452685422	8090
YBR058C-A	81	71.3209876543	5777
YBR059C	1109	6.75202885482	7488
YBR060C	621	5.31561996779	3301
YBR061C	311	20.4758842444	6368
YBR065C	365	4.85753424658	1773
YBR066C	221	12.0904977376	2672
YBR067C	211	206.63507109	43600
YBR068C	610	30.7278688525	18744
YBR069C	620	28.7241935484	17809
YBR070C	238	5.96638655462	1420
YBR071W	212	18.2830188679	3876
YBR072W	215	12.0511627907	2591
YBR073W	959	7.64025026069	7327
YBR074W	977	6.35414534289	6208
YBR077C	163	19.2331288344	3135
YBR079C	965	49.525388601	47792
YBR080C	759	27.3043478261	20724
YBR081C	1333	3.12303075769	4163
YBR083W	487	9.04928131417	4407
YBR084W	976	25.574795082	24961
YBR085C-A	86	69.5	5977
YBR086C	947	13.1731784583	12475
YBR087W	355	14.8732394366	5280
YBR088C	259	62.9806949807	16312
YBR091C	110	17.6727272727	1944
YBR094W	754	6.66180371353	5023
YBR095C	431	6.13921113689	2646
YBR096W	231	29.8311688312	6891
YBR098W	692	1.31791907514	912
YBR101C	291	44.7010309278	13008
YBR102C	754	6.01724137931	4537
YBR103W	536	4.38059701493	2348
YBR104W	330	13.5393939394	4468
YBR105C	363	5.14049586777	1866
YBR106W	189	329.735449735	62320
YBR107C	246	1.21138211382	298
YBR109C	148	258.945945946	38324
YBR110W	450	7.31777777778	3293
YBR111C	232	54.4655172414	12636
YBR114W	791	1.46396965866	1158
YBR115C	1393	20.3539124192	28353
YBR120C	163	9.06134969325	1477
YBR122C	178	20.7134831461	3687
YBR123C	650	5.05384615385	3285
YBR125C	394	6.3807106599	2514
YBR126C	496	45.1532258065	22396
YBR127C	518	219.496138996	113699
YBR129C	329	5.55927051672	1829
YBR130C	426	12.661971831	5394
YBR131W	705	1.47943262411	1043
YBR132C	597	2.82747068677	1688
YBR133C	828	3.73309178744	3091
YBR137W	180	22.8611111111	4115
YBR138C	525	2.93904761905	1543
YBR139W	509	11.2868369352	5745
YBR140C	3093	1.27416747494	3941
YBR141C	338	5.47041420118	1849
YBR142W	774	13.9289405685	10781
YBR143C	438	117.881278539	51632
YBR146W	279	14.9139784946	4161
YBR149W	345	51.1217391304	17637
YBR151W	317	15.0536277603	4772
YBR152W	292	3.3698630137	984
YBR153W	245	3.56734693878	874
YBR154C	216	97.6481481481	21092
YBR155W	386	22.9715025907	8867
YBR156C	699	2.37625178827	1661
YBR157C	256	5.14453125	1317
YBR158W	550	14.0327272727	7718
YBR159W	348	37.9971264368	13223
YBR160W	299	20.779264214	6213
YBR161W	377	3.51458885942	1325
YBR162C	456	119.800438596	54629
YBR162W-A	66	121.909090909	8046
YBR164C	184	47.5434782609	8748
YBR165W	278	6.21942446043	1729
YBR166C	453	11.7350993377	5316
YBR167C	141	9.09929078014	1283
YBR168W	414	1.23913043478	513
YBR170C	581	12.2771084337	7133
YBR171W	207	33.270531401	6887
YBR172C	741	10.7557354926	7970
YBR173C	149	83.8322147651	12491
YBR175W	316	5.26582278481	1664
YBR176W	313	9.27795527157	2904
YBR177C	452	16.2544247788	7347
YBR179C	856	3.6273364486	3105
YBR183W	317	1.50788643533	478
YBR185C	279	7.35842293907	2053
YBR187W	281	33.334519573	9367
YBR188C	141	13.3404255319	1881
YBR191W-A	25	4.6	115
YBR192W	378	6.66666666667	2520
YBR193C	224	9.91964285714	2222
YBR194W	124	6.06451612903	752
YBR195C	423	5.09456264775	2155
YBR196C	555	801.372972973	444762
YBR197C	218	7.26146788991	1583
YBR198C	799	10.6508135169	8510
YBR199W	465	15.3139784946	7121
YBR200W	552	6.99637681159	3862
YBR201C-A	68	2.45588235294	167
YBR201W	212	4.39150943396	931
YBR204C	376	4.32712765957	1627
YBR207W	466	10.9291845494	5093
YBR210W	143	11.8811188811	1699
YBR211C	325	5.39076923077	1752
YBR213W	275	5.02181818182	1381
YBR214W	528	6.34090909091	3348
YBR216C	675	4.81333333333	3249
YBR217W	187	2.29946524064	430
YBR221C	367	130.209809264	47787
YBR222C	544	21.4466911765	11667
YBR223C	545	1.18899082569	648
YBR227C	521	6.88483685221	3587
YBR228W	305	1.67213114754	510
YBR229C	955	7.31623036649	6987
YBR230W-A	67	14.8507462687	995
YBR231C	304	5.63157894737	1712
YBR233W	414	7.09903381643	2939
YBR233W-A	95	15.2421052632	1448
YBR234C	385	47.1376623377	18148
YBR235W	1121	1.77430865299	1989
YBR236C	437	10.2151029748	4464
YBR237W	850	1.44	1224
YBR238C	732	5.03825136612	3688
YBR239C	530	1.76037735849	933
YBR241C	489	2.38445807771	1166
YBR242W	239	15.050209205	3597
YBR243C	449	7.39198218263	3319
YBR244W	163	49.5766871166	8081
YBR245C	1130	12.4415929204	14059
YBR246W	388	7.17010309278	2782
YBR247C	484	27.8285123967	13469
YBR248C	553	22.4267631103	12402
YBR249C	371	178.18328841	66106
YBR251W	308	10.9155844156	3362
YBR252W	148	72.4189189189	10718
YBR253W	122	11.6557377049	1422
YBR254C	176	13.7670454545	2423
YBR255W	695	1.46474820144	1018
YBR256C	239	17.870292887	4271
YBR257W	280	6.74285714286	1888
YBR258C	143	5.40559440559	773
YBR260C	667	6.26686656672	4180
YBR261C	233	37.0944206009	8643
YBR262C	107	16.1214953271	1725
YBR263W	491	74.7698574338	36712
YBR264C	200	10.505	2101
YBR265W	321	15.9096573209	5107
YBR267W	394	22.3807106599	8818
YBR268W	106	26.4716981132	2806
YBR269C	139	30.8705035971	4291
YBR271W	420	6.56904761905	2759
YBR272C	481	5.93762993763	2856
YBR273C	437	12.7368421053	5566
YBR274W	528	2.96022727273	1563
YBR275C	1917	1.56025039124	2991
YBR276C	808	1.44925742574	1171
YBR278W	202	6.58415841584	1330
YBR279W	446	15.8452914798	7067
YBR280C	638	1.56426332288	998
YBR281C	879	5.62798634812	4947
YBR282W	147	22.6258503401	3326
YBR283C	491	61.5132382892	30203
YBR286W	538	170.514869888	91737
YBR287W	428	11.7289719626	5020
YBR288C	484	9.96074380165	4821
YBR290W	322	10.7857142857	3473
YBR291C	300	4.61333333333	1384
YBR296C	575	6.18086956522	3554
YCL001W	189	46.1587301587	8724
YCL005W	257	3.6420233463	936
YCL008C	386	5.51295336788	2128
YCL009C	310	128.022580645	39687
YCL010C	260	8.35	2171
YCL011C	428	30.5654205607	13082
YCL014W	1637	2.99022602321	4895
YCL016C	381	3.6062992126	1374
YCL017C	498	29.0502008032	14467
